Run ID,SUT,Provider,Model,Input Tokens,Output Tokens,Total Tokens,Cost (USD),Generation Time (sec),Timestamp
org.apache.dolphinscheduler.api.python.PythonGateway-1,org.apache.dolphinscheduler.api.python.PythonGateway,openai,gpt-5.4-mini,8444,3888,12332,0.023829,23.362,2026-05-12 17:19:07
org.apache.dolphinscheduler.api.service.impl.WorkflowLineageServiceImpl-1,org.apache.dolphinscheduler.api.service.impl.WorkflowLineageServiceImpl,openai,gpt-5.4-mini,7704,4090,11794,0.024183,26.515,2026-05-12 18:17:37
org.apache.dolphinscheduler.api.service.impl.EnvironmentWorkerGroupRelationServiceImpl-1,org.apache.dolphinscheduler.api.service.impl.EnvironmentWorkerGroupRelationServiceImpl,openai,gpt-5.4-mini,6017,3058,9075,0.018274,19.774,2026-05-13 09:39:16
org.apache.dolphinscheduler.service.process.ProcessServiceImpl-1,org.apache.dolphinscheduler.service.process.ProcessServiceImpl,openai,gpt-5.4-mini,6813,2972,9785,0.018484,17.775,2026-05-13 09:58:30
com.alibaba.nacos.ai.config.McpConfiguration-1,com.alibaba.nacos.ai.config.McpConfiguration,openai,gpt-5.4-mini,6046,1071,7117,0.009354,17.058,2026-05-13 10:32:06
com.alibaba.nacos.auth.util.AuthHeaderUtil-1,com.alibaba.nacos.auth.util.AuthHeaderUtil,openai,gpt-5.4-mini,5610,2361,7943,0.014811,15.755,2026-05-12 10:47:53
com.alibaba.nacos.client.naming.remote.http.NamingHttpClientManager-1,com.alibaba.nacos.client.naming.remote.http.NamingHttpClientManager,openai,gpt-5.4-mini,5359,1769,7128,0.011980,26.429,2026-05-13 12:22:42
com.alibaba.nacos.client.naming.selector.DefaultNamingSelector-1,com.alibaba.nacos.client.naming.selector.DefaultNamingSelector,openai,gpt-5.4-mini,5515,1798,7313,0.012227,11.945,2026-05-13 12:35:47
org.apache.dolphinscheduler.api.python.PythonGateway-0,org.apache.dolphinscheduler.api.python.PythonGateway,openai,gpt-5.4-mini,9329,3768,13097,0.023953,22.840,2026-05-08 09:49:55
com.alibaba.nacos.ai.config.McpConfiguration-0,com.alibaba.nacos.ai.config.McpConfiguration,openai,gpt-5.4-mini,5874,932,6806,0.008600,13.473,2026-05-11 10:35:56
com.alibaba.nacos.auth.util.AuthHeaderUtil-0,com.alibaba.nacos.auth.util.AuthHeaderUtil,openai,gpt-5.4-mini,5582,1812,7103,0.012122,15.551,2026-05-12 10:15:09
com.alibaba.nacos.client.naming.remote.http.NamingHttpClientManager-0,com.alibaba.nacos.client.naming.remote.http.NamingHttpClientManager,openai,gpt-5.4-mini,5208,1670,6878,0.011421,14.488,2026-05-11 11:58:15
org.apache.dolphinscheduler.api.service.impl.EnvironmentWorkerGroupRelationServiceImpl-0,org.apache.dolphinscheduler.api.python.PythonGateway,openai,gpt-5.4-mini,5263,1754,7017,0.011840,13.975,2026-05-08 12:21:19
org.apache.dolphinscheduler.api.service.impl.WorkflowLineageServiceImpl-0,org.apache.dolphinscheduler.api.service.impl.WorkflowLineageServiceImpl,openai,gpt-5.4-mini,7123,3150,10273,0.019517,18.741,2026-05-08 10:40:08
org.apache.dolphinscheduler.service.process.ProcessServiceImpl-0,org.apache.dolphinscheduler.service.process.ProcessServiceImpl,openai,gpt-5.4-mini,6369,2286,8655,0.015064,17.409,2026-05-09 16:03:18
